iter	Logloss
0	0.6869942171
1	0.6812851022
2	0.6756613234
3	0.6698872367
4	0.6645075377
5	0.6587614953
6	0.6533923936
7	0.6480770194
8	0.642745958
9	0.6375607778
10	0.6327482889
11	0.6277281948
12	0.6229378112
13	0.6179915892
14	0.6131055113
15	0.6082701377
16	0.6037401872
17	0.5993542421
18	0.5947183422
19	0.5900308497
20	0.585575621
21	0.5809679245
22	0.5767350734
23	0.5723425428
24	0.5679750834
25	0.5638132423
26	0.5595071899
27	0.5556145237
28	0.5515475209
29	0.5473807021
30	0.5433490321
31	0.5397904782
32	0.5359883912
33	0.5319747261
34	0.5284194859
35	0.5245263987
36	0.5209786136
37	0.517302438
38	0.5138043356
39	0.5104913903
40	0.5068512882
41	0.5032854475
42	0.4998938762
43	0.4967278746
44	0.4934747598
45	0.4901207069
46	0.4867958423
47	0.4835797916
48	0.4805653097
49	0.4778513477
50	0.4749582987
51	0.4721285253
52	0.4690341461
53	0.4659658507
54	0.4630978803
55	0.4603663179
56	0.4578687667
57	0.4548327948
58	0.4518849098
59	0.4491196514
60	0.4463619659
61	0.4436075642
62	0.4407382394
63	0.4381369286
64	0.4355640468
65	0.4331179085
66	0.4304723126
67	0.4279989122
68	0.4256115196
69	0.4233248132
70	0.4211347557
71	0.4188272342
72	0.4163251968
73	0.4140083625
74	0.4118690989
75	0.4096483829
76	0.4074885984
77	0.4054605101
78	0.4034456632
79	0.4016627074
80	0.3998012924
81	0.39778596
82	0.3958060856
83	0.3939035321
84	0.3920645336
85	0.3900487532
86	0.3881736614
87	0.3863918545
88	0.3845170553
89	0.3826235388
90	0.3809131314
91	0.3790377791
92	0.3771986505
93	0.3752276258
94	0.3735000657
95	0.3717114155
96	0.3700095076
97	0.3683675538
98	0.3666200812
99	0.3649551682
100	0.3634440527
101	0.3618025514
102	0.360327758
103	0.3587601419
104	0.3573021567
105	0.3558835783
106	0.3545187599
107	0.3531483929
108	0.3515899068
109	0.3501439033
110	0.348781356
111	0.347479803
112	0.3461396866
113	0.3446868822
114	0.3433458244
115	0.3419647636
116	0.3405607296
117	0.3391492356
118	0.3379280188
119	0.3366458401
120	0.3352630545
121	0.3339562299
122	0.3328516979
123	0.3317772061
124	0.3304896171
125	0.329355682
126	0.327997169
127	0.3267841839
128	0.3257054128
129	0.3247045225
130	0.323675456
131	0.3226461611
132	0.3216912199
133	0.3205798178
134	0.3195907693
135	0.3186992626
136	0.3175357414
137	0.3164943999
138	0.3154910824
139	0.3144218831
140	0.3134369777
141	0.3123710336
142	0.3114820055
143	0.3105355831
144	0.3097173558
145	0.3087238295
146	0.3077420778
147	0.3067779853
148	0.3059222722
149	0.3050746794
150	0.3041693952
151	0.30312244
152	0.3022120011
153	0.3012768202
154	0.3005265783
155	0.2996207963
156	0.2987927372
157	0.2979890845
158	0.2972502045
159	0.296353164
160	0.295536006
161	0.2947618262
162	0.2939722776
163	0.2931267063
164	0.2923198115
165	0.2915473367
166	0.2907425036
167	0.289955777
168	0.2891971327
169	0.2884386198
170	0.2876529902
171	0.2869453074
172	0.2862354359
173	0.2855229663
174	0.2849234675
175	0.2842808709
176	0.2835451943
177	0.2829097812
178	0.2822433743
179	0.2816165171
180	0.2809669405
181	0.2803464063
182	0.27973372
183	0.2790234133
184	0.2783531753
185	0.2777699261
186	0.2772707442
187	0.2766873005
188	0.2760881162
189	0.2755045708
190	0.2749519434
191	0.2742294513
192	0.273685474
193	0.2732146841
194	0.272671991
195	0.2721088732
196	0.2715606771
197	0.2709681672
198	0.2704122939
199	0.2699383678
200	0.2693733519
201	0.2688950468
202	0.2684881763
203	0.2679207269
204	0.267531416
205	0.2671034702
206	0.2666209283
207	0.2659944832
208	0.265497536
209	0.2651008792
210	0.2645281195
211	0.2641559258
212	0.2636095085
213	0.26316115
214	0.2627228524
215	0.2622959291
216	0.2618651084
217	0.2614382242
218	0.2608760779
219	0.2605165691
220	0.2600811088
221	0.2596434518
222	0.2591647371
223	0.2587059957
224	0.2582049748
225	0.2578253285
226	0.2573583202
227	0.2568692019
228	0.2565431281
229	0.2561115735
230	0.2557039333
231	0.2552194259
232	0.2548814974
233	0.2544160922
234	0.2540684045
235	0.2536600175
236	0.2532157208
237	0.2528218005
238	0.2524143324
239	0.2521274431
240	0.2518278432
241	0.2514778096
242	0.2510827308
243	0.2507110608
244	0.2503913452
245	0.2500354366
246	0.2496276208
247	0.24935439
248	0.2490837999
249	0.248690738
250	0.2483050372
251	0.2480452211
252	0.2477273327
253	0.2474158846
254	0.2470863479
255	0.2467970574
256	0.2463753498
257	0.2459762872
258	0.2455684575
259	0.2452057873
260	0.2448562538
261	0.2444978183
262	0.2441806165
263	0.2439204137
264	0.243585092
265	0.243297194
266	0.2430077581
267	0.2427109594
268	0.2424426459
269	0.2421471803
270	0.241827475
271	0.2414422288
272	0.2411159742
273	0.2407364164
274	0.2403699338
275	0.2401472278
276	0.2398852963
277	0.2395250013
278	0.2392059103
279	0.2388809624
280	0.2386687039
281	0.238277287
282	0.2379366873
283	0.2376580059
284	0.2373731178
285	0.2371101108
286	0.236828624
287	0.2364989941
288	0.2362879421
289	0.2360533334
290	0.2357846838
291	0.2355026343
292	0.2352660487
293	0.2350225221
294	0.2347396471
295	0.234465804
296	0.2341498676
297	0.2338619799
298	0.2335278872
299	0.233303593
300	0.2329699004
301	0.2327644682
302	0.2325469706
303	0.2322554515
304	0.2320026598
305	0.2317621536
306	0.2315376695
307	0.231278512
308	0.2310693876
309	0.2307867335
310	0.2304649437
311	0.230229063
312	0.2300312517
313	0.2297127889
314	0.2293775417
315	0.2290730291
316	0.2288355774
317	0.228601964
318	0.2283182272
319	0.2280784755
320	0.227830814
321	0.2276007071
322	0.2273559449
323	0.2271713953
324	0.2269827914
325	0.226810189
326	0.2265537731
327	0.2263398694
328	0.2261387678
329	0.2258952206
330	0.2257201144
331	0.2255534609
332	0.2253599476
333	0.2252165148
334	0.2249914645
335	0.2247573959
336	0.2245611727
337	0.2243432711
338	0.2241199776
339	0.2239063209
340	0.2236783804
341	0.2234744744
342	0.2232142627
343	0.2230275568
344	0.2228664125
345	0.2226610808
346	0.2224229469
347	0.2221748161
348	0.2219412945
349	0.2217709322
350	0.2215391502
351	0.2213198367
352	0.2210911015
353	0.2208483289
354	0.2207036924
355	0.2204868458
356	0.2202792619
357	0.22009478
358	0.2198498422
359	0.2196307938
360	0.2195124656
361	0.2193298835
362	0.2191663789
363	0.2189240245
364	0.2187338154
365	0.2184713611
366	0.2182721672
367	0.2181387144
368	0.2180194139
369	0.2178752672
370	0.2177639628
371	0.2175777168
372	0.2174536405
373	0.217280197
374	0.2171054325
375	0.2168767459
376	0.2166716127
377	0.2165521835
378	0.2164095604
379	0.2162057757
380	0.2160708192
381	0.2158785886
382	0.2157133109
383	0.2155939264
384	0.2153879268
385	0.2152654157
386	0.2151396324
387	0.2149716494
388	0.2147983556
389	0.2146552693
390	0.2144660672
391	0.214327547
392	0.2142119312
393	0.2140440136
394	0.2138275882
395	0.2136908835
396	0.21352316
397	0.2133486225
398	0.2132270959
399	0.2130569655
400	0.2129342327
401	0.2127929989
402	0.2125804636
403	0.2124609041
404	0.2122952482
405	0.2121610142
406	0.212039374
407	0.2118788292
408	0.211732853
409	0.2116456211
410	0.2115138823
411	0.2113867836
412	0.2112956617
413	0.2111571769
414	0.2110323642
415	0.2109275722
416	0.2107910479
417	0.2106932206
418	0.2105487951
419	0.2103614641
420	0.210214503
421	0.2100932075
422	0.2099050208
423	0.2097845456
424	0.2096067985
425	0.2094507613
426	0.2092986501
427	0.2092191509
428	0.2090806535
429	0.2089497029
430	0.2087830385
431	0.2086447363
432	0.2084540668
433	0.2082943713
434	0.2081492299
435	0.2080428163
436	0.2079214414
437	0.2077739341
438	0.2076515804
439	0.207521447
440	0.207415766
441	0.2072691774
442	0.2071465524
443	0.2069863584
444	0.2068335716
445	0.2066824371
446	0.2065482105
447	0.2064019433
448	0.2062707791
449	0.2061803538
450	0.2060567675
451	0.2059575451
452	0.2058038417
453	0.2056880347
454	0.2055357959
455	0.2053583544
456	0.2052093005
457	0.205095944
458	0.2049232654
459	0.2047903135
460	0.2046639355
461	0.2045044367
462	0.2043849976
463	0.2042242263
464	0.2041146603
465	0.2039753469
466	0.2038328486
467	0.2037314774
468	0.2036145719
469	0.2035064528
470	0.2034384239
471	0.2032769944
472	0.2031383048
473	0.2029883672
474	0.2028765947
475	0.2027915012
476	0.2026704593
477	0.2025844119
478	0.2024821165
479	0.2023567048
480	0.2022182318
481	0.2020780307
482	0.2019818143
483	0.2018534043
484	0.2017599581
485	0.2016402936
486	0.2015372945
487	0.201397263
488	0.2012983293
489	0.2012021387
490	0.201104855
491	0.2009707464
492	0.2008464546
493	0.200765495
494	0.2006523562
495	0.2005370613
496	0.2003897536
497	0.2003025595
498	0.200175077
499	0.200092088
500	0.1999141534
501	0.1997512504
502	0.1996521176
503	0.1995156941
504	0.199395715
505	0.1992735166
506	0.1991363738
507	0.1990261211
508	0.1989427396
509	0.1988046714
510	0.1987216522
511	0.1986113656
512	0.1985387217
513	0.1984118529
514	0.1983160509
515	0.198183256
516	0.1980669725
517	0.1979434276
518	0.197834961
519	0.1977768447
520	0.1977007957
521	0.1976334697
522	0.1975312879
523	0.1974513105
524	0.197349207
525	0.1972005918
526	0.1971020923
527	0.196936795
528	0.1968407601
529	0.196697331
530	0.1965470697
531	0.1964418476
532	0.1963112402
533	0.1962387653
534	0.1961300845
535	0.1960374885
536	0.1959433744
537	0.1958376476
538	0.1957125185
539	0.1955857845
540	0.1955191291
541	0.1954474327
542	0.1953563882
543	0.1952400829
544	0.1951713556
545	0.1951082836
546	0.1950072676
547	0.1949136163
548	0.1948230691
549	0.1947096976
550	0.1946084101
551	0.1944878821
552	0.1943781403
553	0.194252887
554	0.1941641061
555	0.1940687667
556	0.1939374726
557	0.1938634482
558	0.193762123
559	0.1936935546
560	0.1936285011
561	0.1935401981
562	0.1934709164
563	0.1933376016
564	0.1932769376
565	0.1931730126
566	0.1930307667
567	0.1929536904
568	0.1928819141
569	0.1927654421
570	0.1926808505
571	0.1925744842
572	0.1924634804
573	0.1923271071
574	0.1922309535
575	0.1921185114
576	0.1920115239
577	0.1919002555
578	0.1918166632
579	0.1916928959
580	0.1915975897
581	0.1914914257
582	0.1913947135
583	0.1912900065
584	0.1912188315
585	0.1910642656
586	0.1909587999
587	0.1908636653
588	0.1908135133
589	0.1907326125
590	0.1906906199
591	0.1906119881
592	0.1905483567
593	0.1904923812
594	0.1903884919
595	0.1902801909
596	0.1901904525
597	0.1901139948
598	0.1900443349
599	0.189942545
600	0.1898544994
601	0.1897774442
602	0.1896963458
603	0.1896167203
604	0.1895336409
605	0.1894495127
606	0.1893721596
607	0.1893116644
608	0.189244771
609	0.1891043631
610	0.1889903173
611	0.1889067134
612	0.1888208961
613	0.1887664855
614	0.1886923093
615	0.1886319548
616	0.1885659835
617	0.1884569996
618	0.1883589908
619	0.1882506524
620	0.18818824
621	0.1881070854
622	0.188041327
623	0.1879665917
624	0.1878918729
625	0.1878176392
626	0.1877132008
627	0.1876323779
628	0.1875812814
629	0.1875063429
630	0.187414414
631	0.187341768
632	0.1872085295
633	0.1871339079
634	0.1870034329
635	0.1869095251
636	0.1868225939
637	0.1867039009
638	0.1866129571
639	0.1865067011
640	0.1863824837
641	0.1863025327
642	0.1862344655
643	0.1861388934
644	0.1860792887
645	0.1860171461
646	0.1859631965
647	0.1858656016
648	0.185791003
649	0.1857134282
650	0.1856052194
651	0.1855132043
652	0.1853921632
653	0.1853439393
654	0.1852845111
655	0.1852010079
656	0.185101644
657	0.1850241471
658	0.1849393785
659	0.1848472024
660	0.1847553162
661	0.1846724705
662	0.1845592091
663	0.1844838758
664	0.1844023555
665	0.1843176206
666	0.1842012496
667	0.1841381604
668	0.1840441848
669	0.1839067157
670	0.1838174229
671	0.1837578558
672	0.1836670419
673	0.1835815014
674	0.183464628
675	0.1834083388
676	0.183345857
677	0.1832679709
678	0.1831914227
679	0.183117839
680	0.1830667732
681	0.1830263296
682	0.1829238257
683	0.1828744052
684	0.1828152884
685	0.1827057552
686	0.1826428404
687	0.1825944395
688	0.1825575939
689	0.1824789641
690	0.18243395
691	0.1822987624
692	0.182243197
693	0.1821805551
694	0.1821314713
695	0.1820400288
696	0.1819618165
697	0.1818944591
698	0.181808186
699	0.1817612683
700	0.1816355162
701	0.181565882
702	0.1814819393
703	0.1813432001
704	0.1812796475
705	0.181192827
706	0.1810956624
707	0.1809715667
708	0.1809114702
709	0.1808368221
710	0.1807503171
711	0.1806866508
712	0.1806479093
713	0.1805659834
714	0.180480114
715	0.1803757018
716	0.1802927692
717	0.1802511974
718	0.1801752571
719	0.1801340679
720	0.1800462738
721	0.1799852575
722	0.1799288229
723	0.1798376983
724	0.1797390455
725	0.1796839532
726	0.1796525287
727	0.1795937753
728	0.1795348055
729	0.1794759252
730	0.1794261209
731	0.1793390573
732	0.1792906452
733	0.1792059581
734	0.1791683603
735	0.1790891523
736	0.1790364844
737	0.1789590368
738	0.1788740954
739	0.1788030969
740	0.1787387025
741	0.1786636723
742	0.1786026705
743	0.1785414821
744	0.1784829272
745	0.1784103586
746	0.1783615953
747	0.1782992972
748	0.1782234402
749	0.1781466817
750	0.1781024043
751	0.1780114574
752	0.1779082011
753	0.1778496636
754	0.1778005965
755	0.177744836
756	0.1776662591
757	0.1775941676
758	0.1775210835
759	0.1774635173
760	0.1773986625
761	0.1773191355
762	0.1772653529
763	0.177206118
764	0.1771515315
765	0.1770886967
766	0.1770556563
767	0.1769957119
768	0.1769468961
769	0.1768920576
