iter	Passed	Remaining
0	3340	18878595
1	6468	18274584
2	9434	17765816
3	12479	17620573
4	15451	17450583
5	18872	17758859
6	21945	17697621
7	24872	17547509
8	27835	17453107
9	30988	17483936
10	34066	17470151
11	37181	17475402
12	40315	17487800
13	43340	17453654
14	46322	17408085
15	49760	17528299
16	52865	17523305
17	56051	17544199
18	59120	17527764
19	62272	17535953
20	65280	17504581
21	68274	17472088
22	71267	17441884
23	74282	17419156
24	77485	17440364
25	80598	17440245
26	83733	17444486
27	86798	17434055
28	89986	17448123
29	93676	17554972
30	98016	17772573
31	101069	17750326
32	104036	17714651
33	107246	17720950
34	110349	17709524
35	113502	17706389
36	116727	17714165
37	119759	17692817
38	122948	17695161
39	125974	17674179
40	129000	17654155
41	132060	17639490
42	135063	17617913
43	138028	17592409
44	140898	17555972
45	143839	17529691
46	146852	17512963
47	149846	17494605
48	152881	17481476
49	155835	17459837
50	158901	17451118
51	161938	17439532
52	165000	17430884
53	168196	17436347
54	171268	17428945
55	174438	17431378
56	177774	17449934
57	181016	17458745
58	184070	17449268
59	187024	17430639
60	190012	17415732
61	193057	17406302
62	196121	17398804
63	199130	17386558
64	202173	17377589
65	205187	17366323
66	208230	17357753
67	211328	17353824
68	214325	17341705
69	217680	17358489
70	220841	17359405
71	224114	17368883
72	227868	17414781
73	232308	17511002
74	236940	17618872
75	242032	17757531
76	246922	17877828
77	251566	17977355
78	254913	17982698
79	259900	18102063
80	264731	18207633
81	269945	18336527
82	273820	18372339
83	278331	18449426
84	282766	18519529
85	285921	18505111
86	288839	18475785
87	291783	18448693
88	294737	18422735
89	298056	18419915
90	301806	18443373
91	305765	18478897
92	309888	18523314
93	313938	18562446
94	317392	18565816
95	320789	18565685
96	323875	18547741
97	326817	18521901
98	329798	18498720
99	332775	18475677
100	335676	18448900
101	338625	18425195
102	341705	18408972
103	344647	18385607
104	347549	18360544
105	350536	18340341
106	353650	18327025
107	356626	18306836
108	359577	18285687
109	362583	18267634
110	365425	18241658
111	368315	18218451
112	371247	18197722
113	374200	18178265
114	377275	18164985
115	380202	18144823
116	383140	18125475
117	386111	18107995
118	389006	18087188
119	392001	18071278
120	395082	18059534
121	398137	18046710
122	401016	18026187
123	403887	18005561
124	406870	17990173
125	409814	17973272
126	412767	17957007
127	415636	17937317
128	418625	17923032
129	421511	17904514
130	424410	17886803
131	427250	17866857
132	430150	17849610
133	433092	17834366
134	435984	17817227
135	438860	17799661
136	441785	17784266
137	444692	17768374
138	447571	17751514
139	450488	17736373
140	453393	17720920
141	456277	17704851
142	459166	17689138
143	462063	17673923
144	464949	17658447
145	467901	17645654
146	470877	17633883
147	473766	17618984
148	476852	17611552
149	479736	17596728
150	482743	17586565
151	485750	17576507
152	488687	17564012
153	491652	17552643
154	494553	17539085
155	497472	17526340
156	500428	17514980
157	503321	17501566
158	506156	17486289
159	509111	17475254
160	512040	17463454
161	514934	17450566
162	518320	17454367
163	522648	17489598
164	525964	17490717
165	529172	17488197
