iter	Logloss
0	0.3364569197
1	0.2802598767
2	0.2612042764
3	0.2530802226
4	0.2504536525
5	0.2481282757
6	0.2466848399
7	0.245010379
8	0.2440124971
9	0.2427427238
10	0.2418863681
11	0.2412820961
12	0.2405049452
13	0.2398574707
14	0.2391985251
15	0.2387022101
16	0.2379467847
17	0.2372617131
18	0.236665479
19	0.236129674
20	0.2356501099
21	0.2351183758
22	0.234477099
23	0.2340790621
24	0.2336547346
25	0.2328434838
26	0.2319046696
27	0.2318437477
28	0.2311180774
29	0.2305164694
30	0.2298757609
31	0.2294172525
32	0.228888483
33	0.2283240035
34	0.228082458
35	0.2278253892
36	0.2273134988
37	0.2267918087
38	0.2260779197
39	0.2256430145
