iter	Passed	Remaining
0	143	5606
1	276	5258
2	397	4908
3	522	4705
4	626	4387
5	750	4251
6	862	4067
7	990	3961
8	1172	4039
9	1288	3864
10	1391	3668
11	1498	3496
12	2903	6031
13	5786	10746
14	7877	13128
15	8377	12566
16	8646	11697
17	9041	11050
18	9207	10176
19	9314	9314
20	9436	8537
21	9540	7805
22	9662	7141
23	9782	6521
24	9898	5939
25	10008	5389
26	10124	4874
27	10209	4375
28	10328	3917
29	10455	3485
30	10562	3066
31	10659	2664
32	10767	2283
33	10886	1921
34	10979	1568
35	11075	1230
36	11221	909
37	11328	596
38	11461	293
39	11565	0
