iter	Passed	Remaining
0	1281	62809
1	2426	58224
2	3343	52380
3	4185	48135
4	5238	47149
5	6254	45863
6	7325	45000
7	8420	44205
8	9559	43547
9	10567	42270
10	11601	41132
11	12538	39704
12	13342	37973
13	14050	36129
14	14622	34119
15	15291	32494
16	15999	31058
17	16425	29200
18	17023	27775
19	17479	26219
20	17894	24711
21	18294	23283
22	18702	21954
23	19138	20733
24	19580	19580
25	20030	18489
26	20484	17449
27	20920	16437
28	21311	15432
29	21751	14500
30	22162	13583
31	22602	12713
32	22992	11844
33	23411	11017
34	23844	10219
35	24265	9436
36	24608	8646
37	24976	7887
38	25429	7172
39	25866	6466
40	26286	5770
41	26718	5089
42	27137	4417
43	27526	3753
44	27955	3106
45	28370	2466
46	28784	1837
47	29222	1217
48	29646	605
49	30094	0
