iter	Logloss
0	0.3472231792
1	0.2743616935
2	0.2564490999
3	0.2509242049
4	0.24696906
5	0.2446362208
6	0.2418460916
7	0.2401836851
8	0.2384564424
9	0.2371589546
10	0.2357601869
11	0.2345802645
12	0.233075176
13	0.2317197878
14	0.2309184617
15	0.230046212
16	0.2285500341
17	0.2272840722
18	0.2261313456
19	0.2254632261
20	0.2239841301
21	0.2228822139
22	0.2218282141
23	0.2207205697
24	0.2196306109
25	0.2179563789
26	0.2168139137
27	0.2154751494
28	0.2151117613
29	0.2134662064
30	0.2126004429
31	0.2110465014
32	0.2098589195
33	0.2089825741
34	0.2084806605
35	0.2073011871
36	0.2065507408
37	0.2055775881
38	0.2047330751
39	0.2036191938
40	0.2025875519
41	0.2019230508
42	0.2010676862
43	0.1999712423
44	0.198843003
45	0.198604573
46	0.1975465933
47	0.1968812612
48	0.1958430387
49	0.1952371904
